Jahr,Jahresdurchschnitt,Tagesspitze,Bevölkerung
1894,2107,4711,NaN
1895,2346,4670,58455
1896,2285,4621,NaN
1907,3910,7236,NaN
1908,4177,7004,NaN
1910,4359,8128,62243
1911,4333,7644,NaN
1912,NaN,NaN,NaN
1913,5305,10593,NaN
1914,5835,10867,NaN
1915,5763,11615,NaN
1916,5894,12259,49151
1917,5261,8030,47657
1918,6298,10811,NaN
1919,6901,11832,58397
1920,6520,9543,65403
1921,NaN,NaN,NaN
1922,NaN,NaN,NaN
1923,NaN,NaN,NaN
1924,NaN,NaN,NaN
1925,NaN,NaN,64203
1926,NaN,NaN,NaN
1927,NaN,NaN,NaN
1928,NaN,NaN,NaN
1929,NaN,NaN,NaN
1930,NaN,NaN,72600
1931,NaN,NaN,NaN
1932,NaN,NaN,NaN
1933,NaN,NaN,73676
1934,NaN,NaN,NaN
1935,10478,20976,78982
1936,10584,24089,NaN
1937,11130,25643,81772
1938,11300,24006,NaN
1939,11048,23395,136056
1940,11849,24459,136700
1941,11955,24420,NaN
1942,13349,23692,NaN
1943,15122,29627,NaN
1944,17943,37795,NaN
1945,16424,24484,111293
1946,23232,34117,113568
1947,25538,37818,NaN
1948,24637,39465,NaN
1949,24498,40510,NaN
1950,27933,44172,118180
1951,26556,39895,NaN
1952,25746,40134,114000
1953,30477,47722,NaN
1954,32715,55354,118000
1955,32880,NaN,117571
1956,34807,51571,117064
1957,34941,62919,115934
1958,33066,49386,114132
1959,36419,66533,115163
1960,35136,52424,115004
1961,36563,59856,114521
1962,37189,58160,115257
1963,39200,66840,115093
1964,37424,64500,110083
1965,35604,54900,110790
1966,36820,61640,110693
1967,35520,52880,110617
1968,37620,55280,110716
1969,40027,55612,110750
1970,42443,58930,111336
1971,44338,63378,111933
1972,46996,62670,113701
1973,49223,70916,115468
1974,51741,67534,117236
1975,53583,74004,119482
1976,56860,75631,121923
1977,52208,72553,124583
1978,52767,81465,126262
1979,54578,78860,128143
1980,54454,69040,130900
1981,55637,80365,132500
1982,61400,92240,134800
1983,60812,91740,135900
1984,60195,90242,137000
1985,61643,94265,139497
1986,63036,104760,141200
1987,62075,100790,142500
1988,64760,96730,143500
1989,64942,94130,141430
1990,58360,81060,139794
1991,46100,55030,139025
1992,40751,56700,138618
1993,33500,44000,139262
1994,31341,47854,138268
1995,30474,45167,136619
1996,30613,42717,134773
1997,28328,41510,131851
1998,26390,38820,129798
1999,25694,39640,128983
2000,24575,42844,129324
2001,23920,35680,130435
2002,23380,33280,130477
2003,24572,38726,130985
2004,23214,35253,132213
2005,22636,33759,136148
2006,24877,38358,147716
2007,23764,32659,149459
2008,24213,40704,151725
2009,24556,35212,153117
2010,26092,42371,153864
2011,25085,37273,157361
2012,25139,38190,159067
2013,25362,39852,161097
2014,26099,35506,163668
2015,27264,42489,167505
2016,NaN,NaN,NaN
2017,NaN,NaN,NaN
2018,NaN,NaN,NaN
2019,NaN,NaN,NaN
2020,NaN,NaN,177748
2021,NaN,NaN,NaN
2022,NaN,NaN,NaN
2023,NaN,NaN,NaN
2024,NaN,NaN,NaN
2025,30666,51747,186359
2026,NaN,NaN,NaN
2027,NaN,NaN,NaN
2028,NaN,NaN,NaN
2029,NaN,NaN,NaN
2030,NaN,NaN,192952
2031,NaN,NaN,NaN
2032,NaN,NaN,NaN
2033,NaN,NaN,NaN
2034,NaN,NaN,NaN
2035,33840,58118,198297
2036,33840,58118,198297
